title,popularity,year
Highlander,16.870392,1986
A Bug's Life,16.869209,1998
Peter Pan,16.861533,1953
Run All Night,16.838145,2015
Trolls,16.83711,2016
The Thing,16.83125,1982
Hidden Figures,16.816834,2016
"The Good, the Bad and the Ugly",16.788787,1966
Who Framed Roger Rabbit,16.78596,1988
Ricki and the Flash,16.778946,2015
Dracula,16.777675,1992
Men in Black II,16.775716,2002
A Mighty Heart,16.770196,2007
Irreversible,16.76382,2002
Field of Dreams,16.759454,1989
The A-Team,16.747793,2010
The Handmaiden,16.727405,2016
Spirit: Stallion of the Cimarron,16.724836,2002
The Fury of a Patient Man,16.719657,2016
High Noon,16.715935,1952
2012,16.698628,2009
Night at the Museum,16.661966,2006
Ice Age: The Meltdown,16.646029,2006
Badlands,16.641976,1973
The Omen,16.641277,1976
Die Hard,16.640522,1988
Coraline,16.639915,2009
Law Abiding Citizen,16.639047,2009
Basic Instinct,16.628427,1992
Saw: The Final Chapter,16.626655,2010
Prometheus,16.624854,2012
The Princess and the Frog,16.616517,2009
Jaws 3-D,16.603041,1983
Tron,16.574021,1982
Watchmen,16.551503,2009
The Shrine,16.544322,2010
Ballerina,16.53732,2016
Open Range,16.532577,2003
Resident Evil: Damnation,16.532373,2012
Velvet Goldmine,16.5293,1998
Captain Fantastic,16.519276,2016
Terminator Salvation,16.507496,2009
12 Angry Men,16.503959,1957
Alice in Wonderland,16.488937,1951
American Hustle,16.478036,2013
War Dogs,16.453573,2016
Wild Card,16.451228,2015
Total Recall,16.42635,2012
The Hobbit,16.425868,1977
The Lego Movie,16.418133,2014
Jackie Brown,16.415498,1997
Ghostbusters II,16.414239,1989
The Shack,16.392712,2017
Northmen: A Viking Saga,16.388563,2014
The Wolf of Wall Street,16.382422,2013
(500) Days of Summer,16.376657,2009
Taken 2,16.376482,2012
The Book Thief,16.373622,2013
Taken,16.367481,2008
Aladdin,16.357419,1992
Wrong Turn 2: Dead End,16.34615,2007
Exodus: Gods and Kings,16.320249,2014
Dracula Untold,16.316318,2014
Turbo Kid,16.304654,2015
The Usual Suspects,16.302466,1995
Kingdom of Heaven,16.296471,2005
A Real Young Girl,16.295091,1976
Dirty Grandpa,16.290586,2016
The Fault in Our Stars,16.274653,2014
Monsters University,16.267502,2013
Snow White and the Seven Dwarfs,16.263878,1937
The Human Centipede 2 (Full Sequence),16.257143,2011
Birdy,16.243093,1984
Forget Paris,16.236745,1995
Hotel Transylvania,16.231945,2012
Shrek 2,16.22986,2004
The Matrix Reloaded,16.229317,2003
Bedeviled,16.227875,2017
Steve Jobs,16.224866,2015
The Prince,16.219485,2014
The Orphanage,16.213592,2007
Surrogates,16.211937,2009
Superbad,16.205105,2007
Undisputed III : Redemption,16.201377,2010
Old School,16.195894,2003
Beaches,16.179384,1988
The Ring Two,16.15818,2005
Viceroy's House,16.153534,2017
Treasure Planet,16.141913,2002
Madagascar,16.136217,2005
Howl's Moving Castle,16.136048,2004
Handsome Devil,16.112052,2017
WALL·E,16.088366,2008
The Intouchables,16.086919,2011
The Nice Guys,16.075615,2016
Heartburn,16.071191,1986
Piranha,16.038604,1978
Gifted,16.025911,2017
Antz,16.025625,1998
Mama,16.018525,2013
Gold,16.01076,2016
A Life Less Ordinary,15.996171,1997
The Cement Garden,15.975485,1993
Poltergeist,15.968492,2015
Let's Be Cops,15.962793,2014
The Patriot,15.960788,2000
The Big Lebowski,15.952524,1998
Bruce Almighty,15.947524,2003
Walled In,15.937321,2009
3:10 to Yuma,15.931069,1957
52 Pick-Up,15.921964,1986
Why Blame It on the Child?,15.918466,2016
The Hunt for Red October,15.91126,1990
Incarnate,15.909181,2016
Eat Pray Love,15.904834,2010
Mighty Aphrodite,15.899134,1995
The Great Wall,15.884744,2016
Space Station 76,15.884005,2014
Brave,15.876341,2012
Chain Reaction,15.874491,1996
Pitch Perfect 2,15.862632,2015
Into the Grizzly Maze,15.860139,2015
The Fall,15.855108,2008
Lara Croft: Tomb Raider,15.851722,2001
Descendants 2,15.842073,2017
Galaxy Quest,15.831374,1999
Shutter Island,15.813629,2010
Citizen Kane,15.811921,1941
Drag Me to Hell,15.809588,2009
Indiana Jones and the Temple of Doom,15.802306,1984
The Crow,15.799336,1994
Mission: Impossible,15.793477,1996
Shot Caller,15.786854,2017
Moneyball,15.785663,2011
While You Were Sleeping,15.783615,1995
Star Trek Into Darkness,15.78129,2013
Men in Black,15.781024,1997
Curse of Chucky,15.771245,2013
Tremors,15.750026,1990
Okja,15.738471,2017
One Hundred and One Dalmatians,15.727519,1961
Along Came Polly,15.725542,2004
Mr. & Mrs. Smith,15.724373,2005
Papillon,15.698433,1973
The Naked Gun: From the Files of Police Squad!,15.698222,1988
Mission: Impossible III,15.687983,2006
Paddington,15.686837,2014
Sherlock Holmes,15.68604,2009
Tristan & Isolde,15.672195,2006
The Brothers Grimm,15.66148,2005
The Intern,15.651705,2015
Coyote Ugly,15.650836,2000
Star Wars: Episode I - The Phantom Menace,15.649091,1999
The Dirty Dozen,15.640007,1967
Mars Attacks!,15.63424,1996
Jack Reacher: Never Go Back,15.60562,2016
The Wall,15.5975,2017
Once Upon a Time in the West,15.589351,1968
Bolt,15.580915,2008
Alien: Resurrection,15.57784,1997
No Country for Old Men,15.565484,2007
The English Patient,15.564161,1996
Krampus,15.553313,2015
North,15.534707,1994
Finding Neverland,15.529604,2004
The Texas Chain Saw Massacre,15.526413,1974
Legally Blondes,15.504416,2009
Ghosts of Mississippi,15.50082,1996
Superman,15.460102,1978
Nine to Five,15.458258,1980
Memento,15.450789,2000
The Iron Giant,15.441459,1999
Flight of the Phoenix,15.434731,2004
GoodFellas,15.424092,1990
Into the Wild,15.423538,2007
Hulk,15.422638,2003
Strangers on a Train,15.41773,1951
Sophie's Choice,15.417202,1982
Night at the Museum: Battle of the Smithsonian,15.417181,2009
Dumb and Dumber To,15.402597,2014
Monster House,15.402378,2006
Saw II,15.399863,2005
Drive,15.388875,2011
Troy,15.387275,2004
Adventures in Babysitting,15.370164,2016
The Matrix Revolutions,15.368205,2003
Star Trek,15.362632,2009
976-EVIL,15.360682,1988
Apt Pupil,15.352714,1998
The Belko Experiment,15.352467,2016
From Dusk Till Dawn,15.339153,1996
Basic Instinct 2,15.321902,2006
Cube²: Hypercube,15.317489,2002
Earth,15.30326,2007
Seventh Son,15.297821,2014
48 Hrs.,15.297121,1982
Find Me Guilty,15.295949,2006
Last Night,15.280219,2010
Moonwalker,15.276746,1988
The Client,15.263829,1994
Valerian and the City of a Thousand Planets,15.262706,2017
Final Fantasy VII: Advent Children,15.260291,2005
The Notebook,15.239013,2004
Runaway Train,15.236541,1985
All Quiet on the Western Front,15.235056,1930
Elysium,15.232738,2013
The Last of the Mohicans,15.228794,1992
Big Top Pee-wee,15.227522,1988
Seed of Chucky,15.216315,2004
Mr. Popper's Penguins,15.214342,2011
Stand by Me,15.206957,1986
First Knight,15.178338,1995
The Edge,15.174973,1997
Barfly,15.170192,1987
Going in Style,15.157255,2017
The Princess Bride,15.15267,1987
Couples Retreat,15.152577,2009
Die Hard: With a Vengeance,15.138855,1995
Easy A,15.138144,2010
Alien Nation,15.133316,1988
Saving Mr. Banks,15.130888,2013
Mary Poppins,15.11549,1964
Bill & Ted's Excellent Adventure,15.109261,1989
The Grand Seduction,15.108283,2014
Forgetting Sarah Marshall,15.106676,2008
The Taking of Pelham 1 2 3,15.09911,2009
Happy Feet,15.088318,2006
The Contender,15.072042,2000
Good Will Hunting,15.064833,1997
Maverick,15.050326,1994
The Day After Tomorrow,15.049695,2004
The Kid,15.045725,2000
Blade,15.043454,1998
Moonwalkers,15.041341,2015
London Has Fallen,15.037993,2016
Survivor,15.033568,2015
It's a Wonderful Life,15.031588,1946
The Trials of Cate McCall,15.028038,2013
The Visit,15.021058,2015
Misery,15.020845,1990
The Flintstones,15.019586,1994
Seven Samurai,15.01777,1954
Kill List,15.014569,2011
Sin City,15.010525,2005
Batman Returns,15.001681,1992
Absolutely Anything,14.998954,2015
"Hello, My Name Is Doris",14.992311,2015
You Don't Know Jack,14.988063,2010
The Great Raid,14.987902,2005
The Diary of a Teenage Girl,14.986654,2015
Nerve,14.9837,2016
Fantasia 2000,14.972573,1999
Filth,14.970485,2013
Panic Room,14.969502,2002
Final Destination,14.961416,2000
City of God,14.95927,2002
I as in Icarus,14.958978,1979
The Road,14.958098,2009
Broken Arrow,14.957626,1996
"Guns, Girls and Gambling",14.950975,2011
Yellow Submarine,14.950187,1968
Saw III,14.938035,2006
Two Rode Together,14.936586,1961
Blood Ties,14.934555,2013
Blackhat,14.932368,2015
The Borrowers,14.924667,1997
Noah,14.924487,2014
Déjà Vu,14.922904,2006
Gangs of New York,14.922399,2002
A Merry Friggin' Christmas,14.921478,2014
Before I Go to Sleep,14.921298,2014
A Walk Among the Tombstones,14.914924,2014
Arthur,14.911301,1981
People Like Us,14.906621,2012
Shaun of the Dead,14.902948,2004
The Right Stuff,14.902397,1983
The Conjuring,14.90169,2013
The Bourne Legacy,14.89499,2012
47 Ronin,14.88937,2013
Live Free or Die Hard,14.886039,2007
The Expendables 2,14.881566,2012
The Invisible Guardian,14.881223,2017
Mommy,14.876086,2014
Sweet November,14.840318,2001
The Blair Witch Project,14.838386,1999
Spring Breakers,14.830235,2013
The Game,14.825587,1997
What's Love Got to Do with It,14.820883,1993
Return to House on Haunted Hill,14.820751,2007
The Cabin in the Woods,14.811958,2012
The Pianist,14.811594,2002
Hackers,14.810519,1995
Monster Trucks,14.801195,2016
Gran Torino,14.794228,2008
Indiana Jones and the Last Crusade,14.788987,1989
The Remaining,14.788837,2014
Jeepers Creepers 2,14.786032,2003
Dallas Buyers Club,14.785719,2013
Thelma & Louise,14.785388,1991
Stardust,14.784525,2007
First Blood,14.778884,1982
Rocky,14.774066,1976
The Conjuring 2,14.767317,2016
Because I Said So,14.764607,2007
The Chorus,14.758133,2004
The Croods,14.757874,2013
The Expendables,14.75562,2010
Never Back Down,14.753931,2008
The Expendables 3,14.753545,2014
The Score,14.741992,2001
Big Fish,14.739983,2003
The Opposite of Sex,14.734622,1998
The Counselor,14.723646,2013
The Astronaut's Wife,14.705865,1999
Two for the Road,14.701129,1967
The Sea Inside,14.69768,2004
Kung Fu Panda 3,14.696548,2016
The Hours,14.686487,2002
GoldenEye,14.686036,1995
Tangled,14.684761,2010
13,14.67986,2010
Unbreakable,14.67855,2000
John Carter,14.670353,2012
Fast Times at Ridgemont High,14.658885,1982
Homeward Bound II: Lost in San Francisco,14.657754,1996
The Man from U.N.C.L.E.,14.656875,2015
Dumbo,14.655879,1941
Oblivion,14.654053,2013
Burn Notice: The Fall of Sam Axe,14.649159,2011
Bad Girls,14.644772,1994
Spotlight,14.63239,2015
The Muppet Christmas Carol,14.630571,1992
The Captive,14.623692,2014
The Children of Huang Shi,14.622493,2008
Last Knights,14.619519,2015
Alice Through the Looking Glass,14.61608,2016
Frank Herbert's Dune,14.612842,2000
Outlander,14.611182,2008
Niagara,14.605464,1953
The Shortcut,14.596309,2009
Underground,14.587894,1995
Return of the Jedi,14.586087,1983
The Straight Story,14.580995,1999
Collateral Beauty,14.575883,2016
Cake,14.571699,2005
Friday,14.56965,1995
Interrogation,14.567726,2016
"Love, Rosie",14.566103,2014
Little Lips,14.555186,1978
Patriots Day,14.547939,2016
Gaslight,14.545058,1944
Hardcore Henry,14.544852,2015
Why Him?,14.531429,2016
The Interview,14.526049,2014
Whip It,14.511442,2009
Hook,14.508137,1991
Scent of a Woman,14.505987,1992
Brubaker,14.503963,1980
Silver Linings Playbook,14.488111,2012
