actor,return
Shailene Woodley,7.183652679627152
Annette Crosbie,7.176702779999999
Basil Hoffman,7.172772376086071
Kevin McCarthy,7.164464612500001
Quentin Tarantino,7.162748522859421
Nehemiah Persoff,7.162097561145411
Dana Carvey,7.156221545945148
Gregory Alan Williams,7.140971513514597
Mark Duplass,7.1378641145833335
Gabriel Iglesias,7.124255086390677
Marc Lawrence,7.1217579581170884
Andrew Keegan,7.117654474166667
Jared Harris,7.113989451659305
Ansel Elgort,7.1119351725235544
Don Gordon,7.107376809307359
Beatrice Straight,7.103960587567048
Illeana Douglas,7.1037934617247975
Christopher Heyerdahl,7.100048990833333
Steve McQueen,7.094744180001608
Ebonie Smith,7.089796817738096
Carol Kane,7.083408580471381
Debi Derryberry,7.08196278747714
Matthew Lewis,7.063109041054131
Andrew Robinson,7.060632682051282
Kirk Baltz,7.054507200626432
Glendon Rich,7.053569007878788
Alfie Enoch,7.050500592498168
Annie Potts,7.04625935246997
Jim Haynie,7.044751176851852
Ian Abercrombie,7.044147403106585
Shelley Winters,7.0382872261904765
Dean Martin,7.029445855555556
Shannon Elizabeth,7.029315781100985
Bill Farmer,7.026328734090353
Dermot Crowley,7.026208121472913
Norbert Weisser,7.017954045986448
Dom DeLuise,7.017325138842356
Jason Alexander,7.014676069514411
Marlene Dietrich,7.0
Gertrude Astor,7.0
Herschel Graham,7.0
Harold Miller,7.0
Victor McLaglen,7.0
Arben Bajraktaraj,6.998067521444445
Brian Howe,6.9947901312039615
Ray Wise,6.988000352444696
Sylvester Stallone,6.986175506238588
Frank Oz,6.973671964830752
Chloe Webb,6.961627877357357
Linnea Quigley,6.958196428571429
Jorge Leon Martinez,6.95672423531746
Lee Marvin,6.949275929629629
Bonnie Somerville,6.949151995694445
Meg Tilly,6.945
Paul Lazar,6.942097530366024
Hope Lange,6.938376983870968
Louis Ferreira,6.93372264970726
Devin Ratray,6.929468694123932
Gregory Peck,6.924101585317461
Anushka Sharma,6.91025641025641
Rob Moran,6.8961486653703
Josh Stewart,6.8941486822347136
